Ref. Des.,X position,Y position,Angle,Side
C1,-8.250,0.500,270.000,top
C2,-6.000,48.000,180.000,top
C3,-6.250,23.250,0.000,top
C4,-6.250,24.500,0.000,top
C5,7.000,49.000,90.000,top
C6,5.250,49.000,90.000,top
C7,16.500,22.750,270.000,top
C8,5.250,16.250,0.000,top
C9,15.000,14.250,180.000,top
C10,13.250,27.250,270.000,bottom
C11,10.250,42.750,180.000,top
C12,3.750,19.500,270.000,bottom
C13,11.750,1.000,180.000,top
C14,-9.750,6.750,0.000,top
C15,-15.000,10.000,90.000,top
C16,14.250,2.750,90.000,top
C17,14.250,5.750,270.000,top
C18,4.500,-0.000,270.000,bottom
C19,1.750,2.250,0.000,bottom
C20,-16.514,11.731,0.000,bottom
C21,-1.069,9.050,270.000,bottom
C22,0.950,8.200,270.000,top
C23,-13.250,13.250,180.000,bottom
C24,-10.000,12.750,0.000,top
C25,-5.000,14.000,90.000,top
C26,-6.625,12.991,90.000,top
C27,-7.875,12.991,90.000,top
C28,-1.000,14.500,90.000,top
C29,-11.000,11.750,90.000,bottom
C30,-3.250,12.000,90.000,bottom
D1,-1.750,3.500,180.000,top
FB1,-9.484,2.343,270.000,top
FB2,4.500,32.250,270.000,bottom
J1,14.250,45.000,180.000,top
J2,0.000,44.180,90.000,top
J3,-7.125,25.000,270.000,bottom
J4,-10.000,-1.000,180.000,bottom
J5,-7.125,59.500,270.000,bottom
J6,10.075,48.630,90.000,bottom
J7,10.075,46.130,90.000,bottom
J8,10.075,6.790,270.000,bottom
J9,4.250,57.100,90.000,bottom
L1,-15.500,6.000,180.000,bottom
L2,-1.500,0.750,90.000,bottom
L3,2.000,10.550,0.000,bottom
Q1,11.900,9.190,0.000,top
R1,14.750,36.250,90.000,top
R2,17.000,36.250,90.000,top
R3,-14.750,2.500,0.000,top
R4,-5.000,2.500,0.000,top
R5,3.500,48.500,90.000,top
R6,9.900,9.190,90.000,top
R7,14.250,10.000,90.000,top
R8,15.750,12.000,90.000,top
R9,11.750,7.500,0.000,top
R10,-11.250,45.000,0.000,top
R11,11.750,6.000,180.000,top
R12,9.750,3.500,270.000,top
R13,-6.500,7.750,180.000,bottom
R14,-15.750,4.500,270.000,top
R15,16.650,0.000,270.000,top
R16,16.000,6.000,270.000,bottom
R17,15.150,0.000,270.000,top
R18,-17.453,9.281,270.000,bottom
R19,4.500,12.000,270.000,top
R21,-12.250,15.500,90.000,bottom
R22,6.000,12.000,270.000,top
R24,0.500,14.500,90.000,top
R25,-3.000,16.250,180.000,bottom
R26,-9.500,14.500,90.000,top
R27,-9.250,16.250,0.000,top
S1,-11.000,29.500,270.000,top
S2,-3.700,29.500,270.000,top
S3,3.700,29.500,270.000,top
S4,11.000,29.500,270.000,top
U1,11.750,19.500,270.000,top
U2,11.750,3.500,90.000,top
U3,-10.250,7.750,90.000,bottom
U4,16.250,4.250,90.000,top
U5,1.750,-0.000,0.000,bottom
U6,-14.703,9.281,0.000,bottom
U7,2.000,7.250,180.000,bottom
U8,-15.000,15.500,180.000,bottom
U9,0.250,14.750,90.000,bottom
U10,-7.250,14.000,0.000,bottom
